symbol,total_trades,win_trades,win_rate,avg_return,total_return
MDGL,6,2,0.3333333333333333,0.021799530068837364,0.13079718041302418
CVX,5,4,0.8,0.0261195211198541,0.1305976055992705
MUSA,11,5,0.45454545454545453,0.011817163238837218,0.12998879562720939
REGN,25,9,0.36,0.005170020505547493,0.1292505126386873
ARWR,15,5,0.3333333333333333,0.008573524206412225,0.12860286309618338
GRMN,25,8,0.32,0.005092837160674015,0.12732092901685038
STRL,16,7,0.4375,0.007928690950647061,0.12685905521035298
SPXC,19,8,0.42105263157894735,0.00661148186293502,0.12561815539576537
SMPL,5,4,0.8,0.02499687879460038,0.1249843939730019
ENVA,5,3,0.6,0.024349482133398243,0.12174741066699121
CHTR,10,5,0.5,0.01191329037445044,0.1191329037445044
MOG.A,5,2,0.4,0.02366122377343894,0.11830611886719469
HUBS,14,7,0.5,0.008303510140772307,0.1162491419708123
BG,17,7,0.4117647058823529,0.006514479133948365,0.1107461452771222
WULF,6,2,0.3333333333333333,0.018330252754208066,0.1099815165252484
KEYS,8,3,0.375,0.013547312412033673,0.10837849929626939
IONQ,9,4,0.4444444444444444,0.011951596228793108,0.10756436605913797
FIX,11,4,0.36363636363636365,0.009738398088129775,0.10712237896942751
WFRD,15,5,0.3333333333333333,0.0070665884446341,0.10599882666951149
PATK,9,4,0.4444444444444444,0.011702772153936947,0.10532494938543252
ACIW,10,4,0.4,0.01040396085058173,0.10403960850581731
OWL,6,4,0.6666666666666666,0.017237999138534167,0.103427994831205
TKO,16,8,0.5,0.006334340557809269,0.10134944892494831
PAYX,18,7,0.3888888888888889,0.005595579936811118,0.10072043886260013
TMDX,5,2,0.4,0.01999948832036068,0.0999974416018034
KMT,19,8,0.42105263157894735,0.0052519388919562565,0.09978683894716887
ORLA,5,2,0.4,0.019478492456903102,0.09739246228451551
RCAT,5,3,0.6,0.01935057063954154,0.0967528531977077
PARR,14,5,0.35714285714285715,0.006895421957398178,0.09653590740357448
ROAD,10,5,0.5,0.009554877697287628,0.09554877697287628
SONO,12,5,0.4166666666666667,0.007931328365393613,0.09517594038472335
CNMD,8,4,0.5,0.01188236985182045,0.0950589588145636
WK,9,4,0.4444444444444444,0.010414686827010178,0.0937321814430916
EXLS,7,3,0.42857142857142855,0.013266498600394154,0.09286549020275908
CNR,12,4,0.3333333333333333,0.00759091504519599,0.09109098054235189
VAL,16,7,0.4375,0.005675097206405237,0.0908015553024838
KLIC,10,3,0.3,0.008859306912093232,0.08859306912093232
ESI,13,4,0.3076923076923077,0.006505776568690546,0.0845750953929771
PRTA,11,4,0.36363636363636365,0.007493582742246169,0.08242941016470787
RVLV,14,5,0.35714285714285715,0.005850767030178584,0.08191073842250018
TBBK,9,5,0.5555555555555556,0.00904466122558931,0.08140195103030379
STNG,12,5,0.4166666666666667,0.0067330668226705664,0.0807968018720468
DUOL,13,6,0.46153846153846156,0.006187638367895319,0.08043929878263914
OKE,7,4,0.5714285714285714,0.011196728934777926,0.07837710254344549
IE,5,3,0.6,0.01516632091379796,0.0758316045689898
SKYW,8,3,0.375,0.009448012356417537,0.07558409885134029
ABBV,8,4,0.5,0.009360814688069739,0.07488651750455791
GVA,11,4,0.36363636363636365,0.006557239427146136,0.07212963369860749
FTDR,6,3,0.5,0.011927034856242668,0.071562209137456
SAIA,8,4,0.5,0.008890555083973163,0.0711244406717853
ESTC,11,5,0.45454545454545453,0.00640563603745441,0.07046199641199852
GPK,10,4,0.4,0.006857492105175919,0.06857492105175919
NKTR,11,5,0.45454545454545453,0.006106683882075591,0.0671735227028315
IDXX,9,3,0.3333333333333333,0.007123851117579068,0.0641146600582116
RRX,9,4,0.4444444444444444,0.007014551680313532,0.06313096512282179
POWL,5,2,0.4,0.012597720840363199,0.062988604201816
AEIS,11,5,0.45454545454545453,0.00568803315539998,0.06256836470939978
ACA,5,2,0.4,0.01237518719546502,0.0618759359773251
PRCT,6,3,0.5,0.00987565700800515,0.059253942048030896
IR,10,4,0.4,0.00585226665966171,0.0585226665966171
CWH,8,3,0.375,0.0072768150100593655,0.058214520080474924
SBSW,11,4,0.36363636363636365,0.005227473155996745,0.05750220471596419
NVRI,6,3,0.5,0.009336672990719799,0.05602003794431879
XENE,5,3,0.6,0.01110353497144596,0.055517674857229804
CPNG,5,2,0.4,0.010766309723369201,0.053831548616846005
LTH,5,3,0.6,0.01075575976866544,0.0537787988433272
RIOT,8,3,0.375,0.006669120391210849,0.05335296312968679
BHVN,8,3,0.375,0.006429080343909826,0.05143264275127861
L,6,3,0.5,0.0072166048762810145,0.04329962925768609
DRS,6,4,0.6666666666666666,0.007120057265470731,0.04272034359282439
DAC,6,2,0.3333333333333333,0.005903337177899734,0.0354200230673984
MP,5,2,0.4,0.005751209116470218,0.028756045582351092
